Date,Building,Chilled Water (kWh),Cooling (kWh),Domestic Cold Water (m3),Electricity (kWh),Heating (kWh),Heating Water (kWh),Natural Gas (kWh)
2018-10-22,B2,,"5,618.17",70.07,"13,334.48","38,600.03",,"2,313.89"
2018-10-22,B3,0,,66.2,"7,218.55",,"7,322.23",0
2018-10-22,B4,0,,41.8,"8,883.03",,"5,530.56",0
2018-10-22,B5,"1,063.85",,29.06,"2,046.48",,"2,347.22",0
2018-10-22,B6,0,,8.2,"4,083.70",,"12,327.79",158.33
2018-10-23,B1,,"5,498.01",6.14,"13,154.30","7,927.78",,"1,172.22"
2018-10-23,B2,,"8,425.79",80.22,"12,690.09","36,016.70",,"2,841.67"
2018-10-23,B3,0,,63.9,"7,149.34",,"6,311.12",0
2018-10-23,B4,0,,35.4,"8,605.94",,"4,841.67",0
2018-10-23,B5,"1,225.04",,32.87,"2,079.72",,"1,997.22",0
2018-10-23,B6,32.24,,7.4,"3,968.35",,"12,436.12",122.22
2018-10-24,B1,,"5,788.15",13.25,"13,508.66","8,511.12",,"1,180.56"
2018-10-24,B2,,"8,314.43",66.79,"12,863.98","34,869.47",,"2,430.56"
2018-10-24,B3,0,,63,"7,115.41",,"5,169.45",0
2018-10-24,B4,0,,36.6,"8,562.17",,"4,666.67",0
2018-10-24,B5,"1,110.74",,25.2,"2,076.34",,"1,430.56",0
2018-10-24,B6,38.1,,6.6,"3,994.42",,"11,561.12",86.11
2018-10-25,B1,,"5,225.46",8.94,"13,139.24","9,977.79",,"1,183.33"
2018-10-25,B2,,"7,948.09",75.45,"12,482.71","36,800.03",,"2,350.00"
2018-10-25,B3,0,,60.7,"6,972.08",,"5,747.23",0
2018-10-25,B4,0,,33.3,"8,213.23",,"5,125.00",0
2018-10-25,B5,"1,225.04",,25.16,"2,100.68",,"1,705.56",0
2018-10-25,B6,0,,7.5,"3,963.35",,"11,794.45",100.0
2018-10-26,B1,,"5,363.20",7.7,"10,974.00","10,341.67",,"1,147.22"
2018-10-26,B2,,"7,235.92",76.3,"12,424.76","36,622.25",,"2,369.45"
2018-10-26,B3,0,,57.4,"5,639.54",,"5,922.23",0
2018-10-26,B4,0,,28,"6,699.31",,"5,072.23",0
2018-10-26,B5,"1,014.03",,29.08,"2,052.76",,"1,152.78",0
2018-10-26,B6,114.3,,7.7,"3,429.83",,"12,169.45",123.61
2018-10-27,B1,,"5,202.01",0.09,"11,063.30","11,608.34",,"1,200.00"
2018-10-27,B2,,"4,522.09",57.22,"9,727.59","28,191.69",,"2,088.89"
2018-10-27,B3,0,,38.7,"6,085.70",,"5,991.67",0
2018-10-27,B4,0,,3.8,"6,634.54",,"4,488.89",0
2018-10-27,B5,899.73,,24.72,"2,243.16",,"1,113.89",0
2018-10-27,B6,0,,0.5,"3,381.24",,"12,658.34",147.22
2018-10-28,B1,,"5,228.39",7.11,"13,139.72","11,777.79",,"1,288.89"
2018-10-28,B2,,"4,466.40",48.84,"9,762.09","28,050.02",,"2,238.89"
2018-10-28,B3,0,,36.8,"7,194.29",,"7,063.89",0
2018-10-28,B4,0,,2.1,"8,871.17",,"4,333.34",0
2018-10-28,B5,844.04,,27.26,"2,197.59",,"1,275.00",0
2018-10-28,B6,0,,0.4,"3,964.12",,"12,363.90",125.0
2018-10-29,B1,,"5,108.23",8.5,"13,720.34","10,019.45",,"1,241.67"
2018-10-29,B2,,"4,624.66",80.19,"12,604.27","37,555.59",,"2,366.67"
2018-10-29,B3,0,,63.7,"7,265.35",,"7,300.01",0
2018-10-29,B4,0,,35.6,"9,388.58",,"5,533.34",0
2018-10-29,B5,961.27,,25.43,"2,104.08",,"1,283.33",0
2018-10-29,B6,0,,7.6,"3,962.54",,"13,169.45",122.22
2018-10-30,B1,,"5,483.36",13.04,"13,458.08","12,461.12",,"1,188.89"
2018-10-30,B2,,"4,457.61",75.35,"12,533.34","39,052.81",,"2,383.34"
2018-10-30,B3,0,,63,"7,259.19",,"8,094.45",0
2018-10-30,B4,0,,35.4,"9,174.77",,"6,436.12",0
2018-10-30,B5,785.43,,31.26,"2,107.26",,"1,388.89",0
2018-10-30,B6,0,,6.6,"3,915.81",,"13,822.23",147.22
